"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",11800,"CLE@CHI 12/04/2017 08:00PM ET",56.261,"CLE"
"PF/C","DeMarcus Cousins",11000,"GS@NO 12/04/2017 08:00PM ET",54.576,"NO"
"SF/PF","Giannis Antetokounmpo",10600,"MIL@BOS 12/04/2017 07:30PM ET",55.513,"MIL"
"PF/C","Anthony Davis",10100,"GS@NO 12/04/2017 08:00PM ET",49.000,"NO"
"PG/SF","Ben Simmons",9800,"PHO@PHI 12/04/2017 07:00PM ET",45.631,"PHI"
"C","Joel Embiid",9800,"PHO@PHI 12/04/2017 07:00PM ET",45.842,"PHI"
"PG/SG","Stephen Curry",9400,"GS@NO 12/04/2017 08:00PM ET",46.524,"GS"
"SF/PF","Kevin Durant",9000,"GS@NO 12/04/2017 08:00PM ET",45.819,"GS"
"C","Andre Drummond",8800,"DET@SA 12/04/2017 08:30PM ET",44.341,"DET"
"PG/SG","Victor Oladipo",8700,"NY@IND 12/04/2017 07:00PM ET",41.284,"IND"
"PG","Kyrie Irving",8500,"MIL@BOS 12/04/2017 07:30PM ET",38.457,"BOS"
"PG","John Wall",8500,"WAS@UTA 12/04/2017 09:00PM ET",42.313,"WAS"
"C","Nikola Jokic",8500,"DEN@DAL 12/04/2017 08:30PM ET",39.881,"DEN"
"PF/C","Kristaps Porzingis",8400,"NY@IND 12/04/2017 07:00PM ET",41.118,"NY"
"C","Karl-Anthony Towns",8300,"MIN@MEM 12/04/2017 08:00PM ET",41.630,"MIN"
"PF/C","LaMarcus Aldridge",8300,"DET@SA 12/04/2017 08:30PM ET",40.295,"SA"
"PF/C","Kevin Love",8200,"CLE@CHI 12/04/2017 08:00PM ET",37.880,"CLE"
"C","Marc Gasol",8100,"MIN@MEM 12/04/2017 08:00PM ET",40.875,"MEM"
"PG","Dennis Schroder",8000,"BKN@ATL 12/04/2017 07:30PM ET",35.275,"ATL"
"SF/PF","Kawhi Leonard",8000,"DET@SA 12/04/2017 08:30PM ET",0,"SA"
"SF/PF","Aaron Gordon",7900,"ORL@CHA 12/04/2017 07:00PM ET",37.357,"ORL"
"SG/SF","Devin Booker",7800,"PHO@PHI 12/04/2017 07:00PM ET",36.946,"PHO"
"C","Dwight Howard",7700,"ORL@CHA 12/04/2017 07:00PM ET",35.107,"CHA"
"PF/C","Al Horford",7600,"MIL@BOS 12/04/2017 07:30PM ET",34.841,"BOS"
"C","Rudy Gobert",7500,"WAS@UTA 12/04/2017 09:00PM ET",35.042,"UTA"
"PG","Kemba Walker",7500,"ORL@CHA 12/04/2017 07:00PM ET",38.289,"CHA"
"SG","Bradley Beal",7400,"WAS@UTA 12/04/2017 09:00PM ET",36.500,"WAS"
"PF/C","Draymond Green",7400,"GS@NO 12/04/2017 08:00PM ET",35.136,"GS"
"SG/SF","Tyreke Evans",7300,"MIN@MEM 12/04/2017 08:00PM ET",32.705,"MEM"
"PG","D'Angelo Russell",7200,"BKN@ATL 12/04/2017 07:30PM ET",36.458,"BKN"
"C","Nikola Vucevic",7100,"ORL@CHA 12/04/2017 07:00PM ET",35.076,"ORL"
"PG/SG","Spencer Dinwiddie",7000,"BKN@ATL 12/04/2017 07:30PM ET",27.375,"BKN"
"SG","Klay Thompson",7000,"GS@NO 12/04/2017 08:00PM ET",33.522,"GS"
"PG/SG","Donovan Mitchell",6900,"WAS@UTA 12/04/2017 09:00PM ET",28.783,"UTA"
"SG","Jimmy Butler",6900,"MIN@MEM 12/04/2017 08:00PM ET",35.369,"MIN"
"SG/SF","Will Barton",6900,"DEN@DAL 12/04/2017 08:30PM ET",29.216,"DEN"
"SG/SF","Tim Hardaway Jr.",6800,"NY@IND 12/04/2017 07:00PM ET",31.238,"NY"
"PG/SG","Eric Bledsoe",6700,"MIL@BOS 12/04/2017 07:30PM ET",32.196,"MIL"
"PF/C","Derrick Favors",6700,"WAS@UTA 12/04/2017 09:00PM ET",27.609,"UTA"
"SF/PF","T.J. Warren",6700,"PHO@PHI 12/04/2017 07:00PM ET",30.667,"PHO"
"SF/PF","Otto Porter",6600,"WAS@UTA 12/04/2017 09:00PM ET",32.548,"WAS"
"SF/PF","Harrison Barnes",6600,"DEN@DAL 12/04/2017 08:30PM ET",32.185,"DAL"
"PG","Isaiah Thomas",6500,"CLE@CHI 12/04/2017 08:00PM ET",0,"CLE"
"SF/PF","Andrew Wiggins",6500,"MIN@MEM 12/04/2017 08:00PM ET",31.043,"MIN"
"PG","Jeff Teague",6400,"MIN@MEM 12/04/2017 08:00PM ET",33.066,"MIN"
"PG","Mike Conley",6400,"MIN@MEM 12/04/2017 08:00PM ET",28.771,"MEM"
"PF/C","Paul Millsap",6400,"DEN@DAL 12/04/2017 08:30PM ET",31.828,"DEN"
"SF/PF","Tobias Harris",6400,"DET@SA 12/04/2017 08:30PM ET",30.977,"DET"
"SG/SF","Khris Middleton",6300,"MIL@BOS 12/04/2017 07:30PM ET",35.107,"MIL"
"PG/SG","Jrue Holiday",6300,"GS@NO 12/04/2017 08:00PM ET",31.837,"NO"
"PF/C","Enes Kanter",6200,"NY@IND 12/04/2017 07:00PM ET",31.181,"NY"
"SF/PF","Robert Covington",6200,"PHO@PHI 12/04/2017 07:00PM ET",30.920,"PHI"
"PG/SG","Kris Dunn",6100,"CLE@CHI 12/04/2017 08:00PM ET",27.426,"CHI"
"PF","Lauri Markkanen",6100,"CLE@CHI 12/04/2017 08:00PM ET",29.893,"CHI"
"C","Myles Turner",6100,"NY@IND 12/04/2017 07:00PM ET",30.781,"IND"
"SF/PF","Jayson Tatum",6000,"MIL@BOS 12/04/2017 07:30PM ET",26.510,"BOS"
"SG/SF","Jaylen Brown",6000,"MIL@BOS 12/04/2017 07:30PM ET",27.446,"BOS"
"PG","Elfrid Payton",6000,"ORL@CHA 12/04/2017 07:00PM ET",28.982,"ORL"
"SF/PF","DeMarre Carroll",5900,"BKN@ATL 12/04/2017 07:30PM ET",28.725,"BKN"
"PF/C","Taj Gibson",5900,"MIN@MEM 12/04/2017 08:00PM ET",25.935,"MIN"
"PG","Reggie Jackson",5900,"DET@SA 12/04/2017 08:30PM ET",29.114,"DET"
"SG","Gary Harris",5800,"DEN@DAL 12/04/2017 08:30PM ET",27.100,"DEN"
"SG/SF","Jeremy Lamb",5800,"ORL@CHA 12/04/2017 07:00PM ET",30.095,"CHA"
"SG/SF","Kent Bazemore",5700,"BKN@ATL 12/04/2017 07:30PM ET",27.045,"ATL"
"SF/PF","Rondae Hollis-Jefferson",5700,"BKN@ATL 12/04/2017 07:30PM ET",26.132,"BKN"
"PF/C","John Collins",5700,"BKN@ATL 12/04/2017 07:30PM ET",24.202,"ATL"
"SG/SF","Rodney Hood",5700,"WAS@UTA 12/04/2017 09:00PM ET",25.986,"UTA"
"PG","Darren Collison",5700,"NY@IND 12/04/2017 07:00PM ET",28.717,"IND"
"SG/SF","Nicolas Batum",5700,"ORL@CHA 12/04/2017 07:00PM ET",22.250,"CHA"
"SG/SF","Justin Holiday",5600,"CLE@CHI 12/04/2017 08:00PM ET",27.713,"CHI"
"PG/SG","Dwyane Wade",5600,"CLE@CHI 12/04/2017 08:00PM ET",25.080,"CLE"
"SF/PF","Thaddeus Young",5600,"NY@IND 12/04/2017 07:00PM ET",27.728,"IND"
"PG/SG","Dennis Smith Jr.",5600,"DEN@DAL 12/04/2017 08:30PM ET",26.905,"DAL"
"PF/C","Dario Saric",5600,"PHO@PHI 12/04/2017 07:00PM ET",24.114,"PHI"
"PG","Ricky Rubio",5500,"WAS@UTA 12/04/2017 09:00PM ET",27.534,"UTA"
"SG/SF","Evan Fournier",5500,"ORL@CHA 12/04/2017 07:00PM ET",29.413,"ORL"
"PF/C","Pau Gasol",5500,"DET@SA 12/04/2017 08:30PM ET",29.330,"SA"
"SG/SF","Marcus Smart",5400,"MIL@BOS 12/04/2017 07:30PM ET",26.148,"BOS"
"SG/SF","Denzel Valentine",5400,"CLE@CHI 12/04/2017 08:00PM ET",24.012,"CHI"
"PG/SG","Avery Bradley",5400,"DET@SA 12/04/2017 08:30PM ET",25.455,"DET"
"SG/SF","Taurean Prince",5300,"BKN@ATL 12/04/2017 07:30PM ET",25.716,"ATL"
"C","Robin Lopez",5300,"CLE@CHI 12/04/2017 08:00PM ET",24.643,"CHI"
"PG","Mario Chalmers",5300,"MIN@MEM 12/04/2017 08:00PM ET",19.893,"MEM"
"SG/SF","J.J. Redick",5300,"PHO@PHI 12/04/2017 07:00PM ET",26.875,"PHI"
"C","Dewayne Dedmon",5200,"BKN@ATL 12/04/2017 07:30PM ET",25.038,"ATL"
"SF/PF","Jabari Parker",5200,"MIL@BOS 12/04/2017 07:30PM ET",0,"MIL"
"C","Marcin Gortat",5200,"WAS@UTA 12/04/2017 09:00PM ET",25.943,"WAS"
"SG/SF","Courtney Lee",5200,"NY@IND 12/04/2017 07:00PM ET",25.286,"NY"
"PG/SF","Kyle Anderson",5200,"DET@SA 12/04/2017 08:30PM ET",24.818,"SA"
"SG/SF","Joe Ingles",5100,"WAS@UTA 12/04/2017 09:00PM ET",24.696,"UTA"
"SG/SF","Kelly Oubre Jr.",5100,"WAS@UTA 12/04/2017 09:00PM ET",23.136,"WAS"
"PF/C","Domantas Sabonis",5100,"NY@IND 12/04/2017 07:00PM ET",27.583,"IND"
"PG/SG","Jamal Murray",5100,"DEN@DAL 12/04/2017 08:30PM ET",22.955,"DEN"
"PF/C","Trevor Booker",5000,"BKN@ATL 12/04/2017 07:30PM ET",22.132,"BKN"
"SG/SF","Jonathon Simmons",5000,"ORL@CHA 12/04/2017 07:00PM ET",21.478,"ORL"
"PG","Rajon Rondo",5000,"GS@NO 12/04/2017 08:00PM ET",22.200,"NO"
"SG/SF","Caris LeVert",4900,"BKN@ATL 12/04/2017 07:30PM ET",22.545,"BKN"
"SF/PF","Marcus Morris",4900,"MIL@BOS 12/04/2017 07:30PM ET",24.464,"BOS"
"PF/C","Nikola Mirotic",4900,"CLE@CHI 12/04/2017 08:00PM ET",0,"CHI"
"SF/PF","Ersan Ilyasova",4800,"BKN@ATL 12/04/2017 07:30PM ET",16.727,"ATL"
"PG/SG","Malcolm Brogdon",4800,"MIL@BOS 12/04/2017 07:30PM ET",24.425,"MIL"
"PF","Bobby Portis",4800,"CLE@CHI 12/04/2017 08:00PM ET",24.708,"CHI"
"PF/C","Kenneth Faried",4800,"DEN@DAL 12/04/2017 08:30PM ET",13.224,"DEN"
"SF/PF","Rudy Gay",4800,"DET@SA 12/04/2017 08:30PM ET",23.262,"SA"
"SG/SF","Allen Crabbe",4700,"BKN@ATL 12/04/2017 07:30PM ET",22.013,"BKN"
"PG/SG","Zach LaVine",4700,"CLE@CHI 12/04/2017 08:00PM ET",0,"CHI"
"SF/PF","Markieff Morris",4700,"WAS@UTA 12/04/2017 09:00PM ET",19.300,"WAS"
"SF/PF","JaMychal Green",4700,"MIN@MEM 12/04/2017 08:00PM ET",19.850,"MEM"
"PF/C","Dirk Nowitzki",4700,"DEN@DAL 12/04/2017 08:30PM ET",23.087,"DAL"
"SF/PF","Wilson Chandler",4700,"DEN@DAL 12/04/2017 08:30PM ET",19.792,"DEN"
"PF/C","Greg Monroe",4700,"PHO@PHI 12/04/2017 07:00PM ET",20.423,"PHO"
"C","John Henson",4600,"MIL@BOS 12/04/2017 07:30PM ET",21.563,"MIL"
"PG/SG","Jerian Grant",4600,"CLE@CHI 12/04/2017 08:00PM ET",22.595,"CHI"
"PG/SG","J.J. Barea",4600,"DEN@DAL 12/04/2017 08:30PM ET",25.152,"DAL"
"SG/SF","Bojan Bogdanovic",4500,"NY@IND 12/04/2017 07:00PM ET",22.435,"IND"
"SG/SF","Lance Stephenson",4500,"NY@IND 12/04/2017 07:00PM ET",19.174,"IND"
"SG/SF","Wesley Matthews",4500,"DEN@DAL 12/04/2017 08:30PM ET",22.924,"DAL"
"PG","Michael Carter-Williams",4500,"ORL@CHA 12/04/2017 07:00PM ET",16.450,"CHA"
"PF/C","Alex Len",4500,"PHO@PHI 12/04/2017 07:00PM ET",24.088,"PHO"
"SG","Marco Belinelli",4400,"BKN@ATL 12/04/2017 07:30PM ET",21.989,"ATL"
"PG","T.J. McConnell",4400,"PHO@PHI 12/04/2017 07:00PM ET",21.588,"PHI"
"SG/SF","Danny Green",4400,"DET@SA 12/04/2017 08:30PM ET",22.500,"SA"
"PF/C","Mason Plumlee",4300,"DEN@DAL 12/04/2017 08:30PM ET",16.716,"DEN"
"C","Tyson Chandler",4300,"PHO@PHI 12/04/2017 07:00PM ET",22.361,"PHO"
"PG","Mike James",4300,"PHO@PHI 12/04/2017 07:00PM ET",22.760,"PHO"
"PF/C","Kyle O'Quinn",4200,"NY@IND 12/04/2017 07:00PM ET",19.857,"NY"
"SG/SF","Josh Jackson",4200,"PHO@PHI 12/04/2017 07:00PM ET",17.625,"PHO"
"SG/SF","Joe Harris",4100,"BKN@ATL 12/04/2017 07:30PM ET",18.333,"BKN"
"PG/SG","Terry Rozier",4100,"MIL@BOS 12/04/2017 07:30PM ET",20.188,"BOS"
"SG/SF","J.R. Smith",4100,"CLE@CHI 12/04/2017 08:00PM ET",17.902,"CLE"
"PG","Tim Frazier",4100,"WAS@UTA 12/04/2017 09:00PM ET",14.034,"WAS"
"PG/SG","Tomas Satoransky",4100,"WAS@UTA 12/04/2017 09:00PM ET",12.173,"WAS"
"PG/SG","Seth Curry",4100,"DEN@DAL 12/04/2017 08:30PM ET",0,"DAL"
"PG","Tyler Ulis",4100,"PHO@PHI 12/04/2017 07:00PM ET",17.446,"PHO"
"SF","Darius Miller",4100,"GS@NO 12/04/2017 08:00PM ET",12.761,"NO"
"SF/PF","Luke Babbitt",4000,"BKN@ATL 12/04/2017 07:30PM ET",14.447,"ATL"
"PG/SG","Alec Burks",4000,"WAS@UTA 12/04/2017 09:00PM ET",16.659,"UTA"
"SF","Michael Kidd-Gilchrist",4000,"ORL@CHA 12/04/2017 07:00PM ET",17.617,"CHA"
"PG","Ish Smith",4000,"DET@SA 12/04/2017 08:30PM ET",18.898,"DET"
"SG/SF","DeAndre' Bembry",3900,"BKN@ATL 12/04/2017 07:30PM ET",11.469,"ATL"
"PG","Jarrett Jack",3900,"NY@IND 12/04/2017 07:00PM ET",19.197,"NY"
"PF/C","Dwight Powell",3900,"DEN@DAL 12/04/2017 08:30PM ET",15.636,"DAL"
"PG/SG","Devin Harris",3900,"DEN@DAL 12/04/2017 08:30PM ET",16.544,"DAL"
"PG/SG","Malik Monk",3900,"ORL@CHA 12/04/2017 07:00PM ET",13.421,"CHA"
"PF/C","Marquese Chriss",3900,"PHO@PHI 12/04/2017 07:00PM ET",17.052,"PHO"
"PG","Patty Mills",3900,"DET@SA 12/04/2017 08:30PM ET",19.727,"SA"
"SG/SF","Tony Snell",3800,"MIL@BOS 12/04/2017 07:30PM ET",16.845,"MIL"
"SF/PF","Jeff Green",3800,"CLE@CHI 12/04/2017 08:00PM ET",18.304,"CLE"
"PG/SG","David Nwaba",3800,"CLE@CHI 12/04/2017 08:00PM ET",19.306,"CHI"
"PG","Derrick Rose",3800,"CLE@CHI 12/04/2017 08:00PM ET",19.786,"CLE"
"PF/C","Tristan Thompson",3800,"CLE@CHI 12/04/2017 08:00PM ET",13.781,"CLE"
"SF/PF","Jonas Jerebko",3800,"WAS@UTA 12/04/2017 09:00PM ET",13.708,"UTA"
"SG/SF","Glenn Robinson III",3800,"NY@IND 12/04/2017 07:00PM ET",0,"IND"
"SG/SF","Dillon Brooks",3800,"MIN@MEM 12/04/2017 08:00PM ET",17.375,"MEM"
"PG/SG","Tyus Jones",3800,"MIN@MEM 12/04/2017 08:00PM ET",13.152,"MIN"
"SF/PF","Chandler Parsons",3800,"MIN@MEM 12/04/2017 08:00PM ET",16.722,"MEM"
"PG","Emmanuel Mudiay",3800,"DEN@DAL 12/04/2017 08:30PM ET",19.523,"DEN"
"PG/SG","Yogi Ferrell",3800,"DEN@DAL 12/04/2017 08:30PM ET",17.163,"DAL"
"PF/C","Frank Kaminsky",3800,"ORL@CHA 12/04/2017 07:00PM ET",19.338,"CHA"
"PG/SG","D.J. Augustin",3800,"ORL@CHA 12/04/2017 07:00PM ET",17.844,"ORL"
"PG/SG","Markelle Fultz",3800,"PHO@PHI 12/04/2017 07:00PM ET",12.438,"PHI"
"PF/C","Thon Maker",3700,"MIL@BOS 12/04/2017 07:30PM ET",12.869,"MIL"
"PF/C","Daniel Theis",3700,"MIL@BOS 12/04/2017 07:30PM ET",11.943,"BOS"
"SF/PF","Jae Crowder",3700,"CLE@CHI 12/04/2017 08:00PM ET",15.554,"CLE"
"SG/SF","Kyle Korver",3700,"CLE@CHI 12/04/2017 08:00PM ET",17.315,"CLE"
"SG/SF","Thabo Sefolosha",3700,"WAS@UTA 12/04/2017 09:00PM ET",17.409,"UTA"
"SG/SF","James Ennis III",3700,"MIN@MEM 12/04/2017 08:00PM ET",14.905,"MEM"
"SF/PF","Trey Lyles",3700,"DEN@DAL 12/04/2017 08:30PM ET",10.279,"DEN"
"SF/PF","Juancho Hernangomez",3700,"DEN@DAL 12/04/2017 08:30PM ET",9.818,"DEN"
"SF/PF","Marvin Williams",3700,"ORL@CHA 12/04/2017 07:00PM ET",19.060,"CHA"
"SG/SF","Terrence Ross",3700,"ORL@CHA 12/04/2017 07:00PM ET",18.795,"ORL"
"PF/C","Amir Johnson",3700,"PHO@PHI 12/04/2017 07:00PM ET",16.350,"PHI"
"PF/C","Richaun Holmes",3700,"PHO@PHI 12/04/2017 07:00PM ET",11.056,"PHI"
"SG/SF","Andre Iguodala",3700,"GS@NO 12/04/2017 08:00PM ET",17.313,"GS"
"SG/SF","E'Twaun Moore",3700,"GS@NO 12/04/2017 08:00PM ET",20.522,"NO"
"SG/SF","Stanley Johnson",3700,"DET@SA 12/04/2017 08:30PM ET",16.526,"DET"
"PG","Tony Parker",3700,"DET@SA 12/04/2017 08:30PM ET",15.083,"SA"
"PG/SG","Malcolm Delaney",3600,"BKN@ATL 12/04/2017 07:30PM ET",12.559,"ATL"
"C","Aron Baynes",3600,"MIL@BOS 12/04/2017 07:30PM ET",15.156,"BOS"
"PF/C","Gorgui Dieng",3600,"MIN@MEM 12/04/2017 08:00PM ET",15.150,"MIN"
